21002056,生物化学                                    ,2
21002057,生物化学与化学                                 ,2
21002058,实验心理学及实验                                ,3
21002059,数学物理方法                                  ,4
21002060,数学物理方法专题                                ,1
21002061,数值计算方法                                  ,3
21002062,无机化学                                    ,3
21002063,物理化学                                    ,3
21002064,物理化学实验                                  ,2
21002065,物理学与人类文明                                ,2
21002066,物理与科技发展                                 ,2
21002067,心理测量                                    ,4
21002068,心理统计                                    ,4
21002069,心理学史                                    ,2
21002070,心理学研究方法                                 ,2
21002071,心理学与幸福                                  ,2
21002072,心智和脑-认识神经科学导论                           ,2
21002073,仪器分析化学                                  ,3
21002074,仪器分析实验                                  ,2
21002075,有机化学                                    ,2
21002076,有机化学实验                                  ,2
21002077,原子物理学                                   ,4
21002078,证券市场研究                                  ,3
21002079,中级化学实验                                  ,4
21002080,综合化学实验                                  ,4
21002081,走进心理学                                   ,2
21002082,组织管理心理学                                 ,4
21002083,组织管理心理学                                 ,2
21003001,《资本论》                                   ,3
21003002,21世纪的中国周边环境                             ,2
21003003,EViews计量经济分析                            ,2
21003004,博弈论                                     ,6
21003005,博弈论导论                                   ,2
21003006,财经论文写作指导                                ,2
21003007,财经论文撰写指导                                ,1
21003008,产业经济管理                                  ,2
21003009,产业经济学                                   ,2
21003010,产业经济学导论                                 ,2
21003011,产业组织理论                                  ,3
21003012,城市经济学                                   ,2
21003013,创新理论与公共政策                               ,2
21003014,大陆经济与两岸关系                               ,2
21003015,当代西方经济学流派                               ,2
21003016,当代中国经济                                  ,3
21003017,对外开放与中国经济增长                             ,2
21003018,发展经济学                                   ,4
21003019,泛函分析                                    ,5
21003020,房地产市场与价格                                ,2
21003021,高技术局部战争及其                               ,2
21003022,高技术局部战争及其经济保障                           ,2
21003023,高技术局部战争经济保障                             ,2
21003024,高技术局部战争武器装备                             ,2
21003025,公共经济学                                   ,2
21003026,公司财务                                    ,2
21003027,公司理财                                    ,6
21003028,公司理财与案例分析                               ,2
21003029,管理经济学                                   ,2
21003030,管理学原理                                   ,6
21003031,国际金融                                    ,2
21003032,国际金融理论与实务                               ,3
21003033,国际金融学                                   ,3
21003034,国际经济学                                   ,4
21003035,国际经济学前沿                                 ,2
21003036,国际经济学前沿分析                               ,2
21003037,国际贸易                                    ,2
21003038,国际贸易理论与实务                               ,3
21003039,国际贸易理论与政策                               ,3
21003040,国际贸易实务                                  ,2
21003041,国际贸易体系                                  ,2
21003042,国际商务函电                                  ,2
21003043,国际市场行情预测                                ,2
21003044,国际投资                                    ,3
21003045,国际投资理论实务                                ,2
21003046,国际投资理论与实务                               ,3
21003047,国际营销                                    ,2
21003048,国际政治经济学                                 ,3
21003049,国家经济安全                                  ,2
21003050,国民经济核算概论                                ,2
21003051,韩国社会经济发展                                ,3
21003052,宏观、微观案例分析                               ,2
21003053,宏观经济景气分析                                ,2
21003054,宏观经济学                                   ,4
21003055,宏观经济学专题讲座                               ,6
21003056,会计学                                     ,3
21003057,货币金融学                                   ,3
21003058,货币银行学                                   ,3
21003059,计量方法介绍及软件操作                             ,2
21003060,计量经济学                                   ,5
21003061,计量经济学方法介绍及STATA软件操作                     ,2
21003062,价格管理与政策                                 ,2
21003063,教育经济学                                   ,4
21003064,金融经济学                                   ,2
21003065,近世代数                                    ,6
21003066,经济法                                     ,2
21003067,经济理论比较与当代经济                             ,2
21003068,经济史(中国外国经济史)                            ,3
21003069,经济史（中外）                                 ,2
21003070,经济学辅导课                                  ,1
21003071,经济学前沿研究                                 ,4
21003072,经济学说史                                   ,4
21003073,经济学原理                                   ,2
21003074,经济学原理导论                                 ,2
21003075,经济研究专题                                  ,4
21003076,开放宏观经济学                                 ,6
21003077,开放经济学                                   ,3
21003078,跨国公司财务                                  ,2
21003079,跨国公司经济学                                 ,2
21003080,劳动经济学                                   ,2
21003081,两岸经济发展议题                                ,2
21003082,能源技术概论                                  ,4
21003083,能源经济学                                   ,3
21003084,能源经济学概论                                 ,3
21003085,能源市场与价格                                 ,3
21003086,能源战略与能源安全                               ,3
21003087,期货市场学                                   ,2
21003088,企业购并                                    ,2
21003089,企业经济学                                   ,2
21003090,企业收购与兼并                                 ,2
21003091,区域公共政策                                  ,2
21003092,区域经济管理概论                                ,2
21003093,全球化与中国经济安全                              ,2
21003094,全球气候变化与国际经济                             ,2
21003095,人地和谐研究                                  ,2
21003096,日本农业经济                                  ,2
21003097,社会科学研究方法                                ,2
21003098,生态经济学概论                                 ,2
21003099,实验经济学                                   ,3
21003100,世界经济史                                   ,3
21003101,世界经济学                                   ,3
21003102,世界贸易组织规则概论                              ,2
21003103,市场营销                                    ,2
21003104,数理经济学                                   ,6
21003105,数值计算                                    ,6
21003106,投入产出分析                                  ,4
21003107,外国宏观经济管理                                ,2
21003108,外国经济史                                   ,2
21003109,微观经济学                                   ,4
21003110,微观经济学原理                                 ,2
21003111,信息经济学导论                                 ,2
21003112,亚洲-太平洋经济                                ,2
21003113,演化经济学概论                                 ,2
21003114,艺术品金融                                   ,2
21003115,营销管理                                    ,4
21003116,应用计量经济学                                 ,2
21003117,证券投资分析                                  ,2
21003118,政治经济学                                   ,2
21003119,中国国家创新力研究                               ,2
21003120,中国宏观经济专题研究                              ,2
21003121,中国经济发展专题                                ,3
21003122,中国经济改革与发展                               ,2
21003123,中国经济热点分析                                ,2
21003124,中国经济史                                   ,3
21003125,中国经济思想史                                 ,2
21003126,中国经济学                                   ,2
21003127,中国经济重大问题专题                              ,2
21003128,中国区域发展战略与开发实践                           ,2
21003129,中国西部开发论                                 ,2
21003130,中国中小企业成长与发展                             ,2
21003131,中级宏观经济学                                 ,3
21003132,资本论                                     ,2
21003133,自然资源与环境经济学                              ,3
21004001,EXCEL VBA                               ,2
21004002,SPSS从入门到精通                              ,2
21004003,SPSS从入门到精通应用                            ,2
21004004,SPSS统计软件包                               ,2
21004005,Stata软件在计量经济学中的应用                       ,2
21004006,保险会计                                    ,2
21004007,保险会计与财务管理                               ,2
21004008,保险精算实务                                  ,2
21004009,保险精算学                                   ,2
21004010,保险学                                     ,2
21004011,保险学原理                                   ,2
21004012,保险原理                                    ,2
21004013,贝叶斯统计基础                                 ,3
21004014,财务管理                                    ,2
21004015,抽样调查                                    ,2
21004016,抽样调查原理                                  ,3
21004017,多元统计分析                                  ,3
21004018,非参数统计                                   ,2
21004019,非寿险精算                                   ,2
21004020,非寿险精算学                                  ,4
21004021,风险管理                                    ,2
21004022,风险理论                                    ,3
21004023,国民经济核算                                  ,3
21004024,宏观经济统计分析                                ,2
21004025,会计与财务分析                                 ,2
21004026,计量经济学                                   ,2
21004027,经济与金融统计                                 ,2
21004028,经济与社会统计                                 ,3
21004029,精算管理控制系统                                ,2
21004030,精算会计与财务分析                               ,2
21004031,精算控制循环                                  ,2
21004032,精算模型                                    ,3
21004033,精算实务                                    ,2
21004034,利息理论                                    ,3
21004035,六希格玛管理概论                                ,2
21004036,描述统计                                    ,2
21004037,社会保障                                    ,2
21004038,社会医学统计                                  ,3
21004039,生存分析                                    ,2
21004040,实验设计                                    ,3
21004041,市场调查                                    ,2
21004042,市场预测与管理决策                               ,2
21004043,试验设计                                    ,3
21004044,试验设计与统计质量控制                             ,3
21004045,寿险精算学                                   ,3
21004046,数据分析与R应用                                ,2
21004047,调查技术与方法                                 ,2
21004048,调查理论                                    ,2
21004049,调查应用                                    ,2
21004050,统计分析软件应用                                ,2
21004051,统计过程控制                                  ,3
21004052,统计计算                                    ,2
21004053,统计学                                     ,3
21004054,统计学基础                                   ,2
21004055,团体保险                                    ,2
21004056,应用回归分析                                  ,2
21004057,应用金融数学                                  ,3
21004058,应用时间序列分析                                ,3
21004059,应用随机过程                                  ,2
21004060,运筹学                                     ,3
21005001,保险法                                     ,2
21005002,当代中国政治与政府                               ,2
21005003,法律经济学                                   ,2
21005004,法律英语                                    ,2
21005005,法学概论                                    ,3
21005006,法学基础理论                                  ,4
21005007,公平交易法                                   ,2
21005008,公司法                                     ,2
21005009,国际法                                     ,3
21005010,国际经济法                                   ,4
21005011,国际贸易法                                   ,3
21005012,国际私法                                    ,3
21005013,国际知识产权法专题研究                             ,2
21005014,行政法                                     ,4
21005015,行政法与行政诉讼法                               ,3
21005016,行政诉讼法                                   ,2
21005017,合同法                                     ,2
21005018,环保法                                     ,2
21005019,环境法                                     ,2
21005020,婚姻继承法                                   ,3
21005021,教育、文化与社会                                ,2
21005022,经济法                                     ,4
21005023,经济法概论                                   ,3
21005024,跨国公司知识产权战略                              ,2
21005025,劳动法                                     ,4
21005026,劳动法和社会保障法                               ,51
21005027,民法分论                                    ,4
21005028,民法物权                                    ,2
21005029,民法债编总论                                  ,3
21005030,民法总论                                    ,4
21005031,民事诉讼法                                   ,3
21005032,票据法                                     ,2
21005033,商标法                                     ,2
21005034,商法                                      ,3
21005035,外国民商法                                   ,2
21005036,文化遗产法                                   ,2
21005037,物权法                                     ,2
21005038,物证技术学                                   ,4
21005039,宪法                                      ,3
21005040,刑法                                      ,2
21005041,刑法分论                                    ,4
21005042,刑事诉讼法                                   ,3
21005043,证据法学                                    ,2
21005044,知识产权法                                   ,3
21005045,知识产权国际公约                                ,2
21005046,知识产权讲座                                  ,2
21005047,知识产权实务                                  ,4
21005048,中国法概况                                   ,3
21005049,中国法律思想史                                 ,2
21005050,中国法制史                                   ,4
21005051,中国经济法                                   ,3
21005052,中韩比较民法                                  ,2
21005053,中韩比较物权法                                 ,3
21005054,中韩比较债法                                  ,3
21005055,中华法律文明史                                 ,2
21005056,著作权法                                    ,2
21005057,专利与技术合同法                                ,4
21006001,21世纪中国的内政与外交                            ,2
21006002,财经法律讲座                                  ,2
21006003,大学生心理健康与咨询                              ,2
21006004,当代西方社会思潮                                ,2
21006005,当代中国对外关系                                ,2
21006006,当代中国法制建设                                ,2
21006007,当代中国工人问题                                ,2
21006008,当代中国经济                                  ,2
21006009,当代中国社会                                  ,2
21006010,当代中国社会思潮                                ,2
21006011,当代中国统一和国土安全问题                           ,2
21006012,当代中国外交                                  ,2
21006013,当代中国文化                                  ,2
21006014,当代中国政府与政治                               ,4
21006015,党的建设                                    ,4
21006016,党务工作概论                                  ,2
21006017,党务管理学                                   ,2
21006018,邓小平理论概论                                 ,4
21006019,二十世纪中国史                                 ,2
21006020,国史概论                                    ,2
21006021,国外社会思潮                                  ,2
21006022,海外中共党史研究                                ,2
21006023,基督信仰与西方近代科学                             ,2
21006024,刘少奇生平与思想                                ,2
21006025,马克思主义哲学原理                               ,2
21006026,马克思主义政治经济学原理                            ,2
21006027,民国外交史                                   ,2
21006028,民主主义论                                   ,3
21006029,女权主义思潮导论                                ,2
21006030,全球化中文化问题研究                              ,2
21006031,三农问题研究                                  ,2
21006032,社会问题与适应                                 ,2
21006033,社会主义向何处去                                ,2
21006034,生态文明文献选读                                ,2
21006035,实业计划与中国经济开发专题                           ,2
21006036,思想政治教育的理论与方法                            ,2
21006037,统一战线理论与实践                               ,2
21006038,西方马克思主义思潮流派                             ,2
21006039,西方史学经论                                  ,2
21006040,现代外交政策决策论                               ,3
21006041,新民主主义理论与实践                              ,2
21006042,政党学概论                                   ,2
21006043,政治心理学                                   ,2
21006044,政治心理学导论                                 ,2
21006045,政治学理论与方法                                ,4
21006046,职业生涯规划与职业修养                             ,2
21006047,职业生涯规划与职业修养                             ,2
21006048,中共党史                                    ,4
21006049,中共党史人物选讲                                ,2
21006050,中共党史史料学                                 ,2
21006051,中共党史文献选读                                ,2
21006052,中共党史研究的理论与方法                            ,2
21006053,中共三代领导集团治国方略                            ,2
21006054,中国传统文化研究                                ,2
21006055,中国传统文化与大学生成才                            ,2
21006056,中国传统文化与大学生成长                            ,2
21006057,中国大陆社会经济变迁                              ,2
21006058,中国大陆研究导论                                ,2
21006059,中国共产党与中国农民问题                            ,2
21006060,中国近代史                                   ,3
21006061,中国近现代政治思想史                              ,3
21006062,中国利用外资的政策分析                             ,2
21006063,中国毛泽东研究导论                               ,2
21006064,中国民主党派史                                 ,2
21006065,中国特色社会主义文献选读                            ,2
21007001,GIS技术在社会学科研究中的应用                        ,2
21007002,比较政府                                    ,2
21007003,比较政府与政治                                 ,2
21007004,不动产估价                                   ,3
21007005,不动产经济学                                  ,3
21007006,不动产开发与经营                                ,3
21007007,不动产投资分析                                 ,3
21007008,不动产政策与法规                                ,3
21007009,产业变革与现代城市发展                             ,2
21007010,产业经济管理                                  ,3
21007011,城市发展史                                   ,3
21007012,城市发展战略规划                                ,2
21007013,城市发展战略规划与管理                             ,3
21007014,城市管理法                                   ,3
21007015,城市管理概论                                  ,3
21007016,城市管理学                                   ,3
21007017,城市规划管理                                  ,2
21007018,城市规划与管理                                 ,2
21007019,城市规划与设计                                 ,3
21007020,城市规制                                    ,3
21007021,城市经济发展理论与实践                             ,2
21007022,城市经济学                                   ,3
21007023,城市土地与不动产管理                              ,2
21007024,城市信息管理系统                                ,2
21007025,城市研究                                    ,2
21007026,城市与环境经济学                                ,12
